trade_id,date,settlement_id,commodity,quantity,unit_value,trade_type,crew_member,outcome
T-0001,2027-04-01,S-003,food,24,7 sc,outbound,Ferros,completed
T-0002,2027-04-01,S-003,food,18,5 sc,outbound,Ferros,completed
T-0003,2027-04-03,S-006,tools,,39 sc,inbound,Mercer,completed
T-0004,2027-04-04,S-004,fuel,9,35 sc,outbound,Tace,completed
T-0005,2027-04-04,S-002,fuel,12,33 sc,outbound,Vanek,completed
T-0006,2027-04-05,S-004,food,26,7 sc,outbound,Vanek,completed
T-0007,2027-04-05,S-004,tools,5,48 sc,outbound,Mercer,completed
T-0008,2027-04-05,S-004,medicine,5,74 sc,outbound,Solano,completed
T-0009,2027-04-08,S-008,food,21,4 sc,inbound,Briar,partial
T-0010,2027-04-09,S-003,fuel,18,32 sc,inbound,Briar,renegotiated
T-0011,2027-04-09,S-004,water,22,5 sc,outbound,Tace,completed
T-0012,2027-04-10,S-004,medicine,1,148 sc,outbound,Solano,completed
T-0013,2027-04-11,S-003,salvage,6,16 sc,outbound,Solano,renegotiated
T-0014,2027-04-12,S-004,medicine,4,121 sc,outbound,Mercer,completed
T-0015,2027-04-13,S-001,salvage,25,6 sc,inbound,Solano,renegotiated
T-0016,2027-04-14,S-001,food,20,4 sc,inbound,Ferros,completed
T-0017,2027-04-15,S-003,fuel,16,49 sc,inbound,Vanek,completed
T-0018,2027-04-16,S-008,components,5,129 sc,inbound,Osei,completed
T-0019,2027-04-16,S-002,water,24,7 sc,inbound,Briar,completed
T-0020,2027-04-17,S-004,tools,4,59 sc,outbound,Kell,completed
T-0021,2027-04-17,S-003,salvage,19,7 sc,inbound,Mercer,completed
T-0022,2027-04-18,S-008,components,2,84 sc,outbound,Ferros,completed
T-0023,2027-04-20,S-004,components,3,81 sc,outbound,Briar,completed
T-0024,2027-04-21,S-005,food,23,3 sc,outbound,Kell,partial
T-0025,2027-04-21,S-008,ammunition,9,34 sc,outbound,Solano,partial
T-0026,2027-04-21,S-001,water,49,7 sc,outbound,Mercer,completed
T-0027,2027-04-22,S-003,food,28,8 sc,inbound,Tace,completed
T-0028,2027-04-25,S-007,tools,8,28 sc,outbound,Briar,completed
T-0029,2027-04-25,S-008,food,27,4 sc,outbound,Osei,completed
T-0030,2027-04-26,S-008,tools,7,35 sc,inbound,Mercer,completed
T-0031,2027-04-27,S-006,fuel,7,26 sc,outbound,Vanek,completed
T-0032,2027-04-28,S-001,ammunition,1,34 sc,outbound,Kell,completed
T-0033,2027-04-28,S-002,components,2,67 sc,inbound,Briar,partial
T-0034,2027-04-29,S-004,tools,6,54 sc,inbound,Kell,completed
T-0035,2027-04-30,S-003,ammunition,,53 sc,outbound,Briar,completed
T-0036,2027-05-02,S-004,food,24,5 sc,outbound,Osei,completed
T-0037,2027-05-02,S-008,salvage,27,21 sc,outbound,Osei,partial
T-0038,2027-05-03,S-013,tools,10,81 sc,outbound,Solano,completed
T-0039,2027-05-05,S-001,salvage,,6 sc,inbound,Tace,completed
T-0040,2027-05-05,S-005,water,26,8 sc,outbound,Briar,completed
T-0041,2027-05-07,S-004,ammunition,9,42 sc,inbound,Tace,completed
T-0042,2027-05-09,S-003,food,6,3 sc,outbound,Osei,partial
T-0043,2027-05-09,S-008,tools,6,72 sc,outbound,Osei,completed
T-0044,2027-05-09,S-007,ammunition,1,46 sc,inbound,Osei,completed
T-0045,2027-05-10,S-004,food,21,6 sc,outbound,Mercer,completed
T-0046,2027-05-10,S-004,fuel,14,40 sc,outbound,Kell,completed
T-0047,2027-05-11,S-008,water,22,7 sc,inbound,Solano,completed
T-0048,2027-05-12,S-001,salvage,9,23 sc,inbound,Solano,completed
T-0049,2027-05-13,S-003,food,35,5 sc,outbound,Vanek,completed
T-0050,2027-05-15,S-003,food,18,4 sc,outbound,Tace,completed
T-0051,2027-05-16,S-003,food,30,8 sc,outbound,Solano,completed
T-0052,2027-05-16,S-003,food,33,6 sc,outbound,Kell,renegotiated
T-0053,2027-05-16,S-003,food,9,6 sc,inbound,Mercer,completed
T-0054,2027-05-17,S-009,tools,6,39 sc,inbound,Solano,partial
T-0055,2027-05-18,S-004,medicine,2,56 sc,inbound,Vanek,completed
T-0056,2027-05-18,S-001,tools,2,62 sc,outbound,Kell,completed
T-0057,2027-05-18,S-003,water,17,7 sc,inbound,Vanek,completed
T-0058,2027-05-19,S-003,water,27,3 sc,outbound,Solano,completed
T-0059,2027-05-19,S-004,water,31,3 sc,outbound,Ferros,completed
T-0060,2027-05-20,S-004,medicine,5,94 sc,inbound,Vanek,completed
T-0061,2027-05-20,S-004,food,13,4 sc,outbound,Ferros,completed
T-0062,2027-05-21,S-009,fuel,17,16 sc,outbound,Mercer,completed
T-0063,2027-05-21,S-004,water,40,10 sc,inbound,Ferros,completed
T-0064,2027-05-22,S-003,water,17,5 sc,outbound,Ferros,completed
T-0065,2027-05-23,S-002,medicine,5,63 sc,outbound,Osei,completed
T-0066,2027-05-23,S-005,fuel,3,21 sc,outbound,Tace,completed
T-0067,2027-05-24,S-003,fuel,5,28 sc,outbound,Tace,completed
T-0068,2027-05-24,S-004,fuel,10,25 sc,inbound,Vanek,partial
T-0069,2027-05-27,S-004,food,5,6 sc,inbound,Mercer,completed
T-0070,2027-05-27,S-003,water,48,3 sc,outbound,Tace,completed
T-0071,2027-05-28,S-004,medicine,5,62 sc,inbound,Solano,completed
T-0072,2027-05-28,S-003,food,22,7 sc,outbound,Solano,completed
T-0073,2027-05-30,S-008,fuel,13,21 sc,inbound,Osei,partial
T-0074,2027-05-31,S-003,salvage,8,19 sc,outbound,Solano,completed
T-0075,2027-05-31,S-009,water,16,7 sc,outbound,Mercer,partial
T-0076,2027-06-01,S-004,salvage,18,5 sc,outbound,Kell,completed
T-0077,2027-06-02,S-003,food,23,3 sc,outbound,Ferros,completed
