NewQuestion,MC,
QuestionText,"Which sequence describes the split-apply-combine pattern used by pandas groupby?",
Option,100,"Split the data into groups based on keys, apply a function to each group, and combine the results into a single output",
Option,0,"Sort the data by a key, run a loop over each unique value, and append each result to a list",
Option,0,"Filter the data down to one group at a time, export each group to a separate file, and merge the files at the end",
Option,0,"Index into the DataFrame with a list of keys, transform each column, and concatenate the columns back together",

NewQuestion,MC,
QuestionText,"When you call df.groupby('key_column'), what is returned?",
Option,0,"A dictionary mapping each unique key to the rows of the original DataFrame",
Option,100,"A DataFrameGroupBy object that holds the grouping information but has not yet performed any computation",
Option,0,"A DataFrame with one row per unique key value and no other columns",
Option,0,"A list of smaller DataFrames, one for each unique group key",

NewQuestion,MC,
QuestionText,"Which of the following CANNOT be used as a grouping key passed to groupby()?",
Option,0,"The name of a column in the DataFrame",
Option,100,"A single integer value, such as 5",
Option,0,"A Series or array the same length as the axis being grouped",
Option,0,"A function invoked on each value of the axis index",

NewQuestion,MC,
QuestionText,"How can you iterate over the groups produced by df.groupby('key'), one at a time?",
Option,100,"for name, group in df.groupby('key'): each iteration yields a tuple of (group_name, group_DataFrame)",
Option,0,"for group in df.groupby('key'): each iteration yields a DataFrame only",
Option,0,"You cannot iterate over a GroupBy object; you must first call .size() or .apply()",
Option,0,"for key in df.groupby('key'): each iteration yields the group key, then you index into the DataFrame separately",

NewQuestion,MC,
QuestionText,"What is the difference between .size() and .count() on a GroupBy object?",
Option,0,".size() counts only the numeric columns; .count() counts all columns",
Option,0,".size() returns the number of unique values per group; .count() returns the total number of rows per group",
Option,0,".size() is a deprecated alias for .count(); they produce identical output in current pandas",
Option,100,".size() returns the row count per group; .count() returns the count of non-null values per column",

NewQuestion,MC,
QuestionText,"By default, what does groupby() do with rows whose grouping key is NaN?",
Option,0,"It raises an error, requiring the user to clean the data first",
Option,0,"It places those rows in a group labeled 'NaN' that appears in the result",
Option,100,"It excludes those rows from the result entirely",
Option,0,"It assigns those rows to the first existing group alphabetically",

NewQuestion,MC,
QuestionText,"What does passing dropna=False to groupby() change?",
Option,0,"NaN values in the aggregated columns (not the group key) are included rather than skipped during aggregation",
Option,0,"Missing values are replaced with the column mean before grouping",
Option,100,"Rows with NaN in the grouping key are kept and appear as their own NaN group in the result",
Option,0,"Missing values in both the grouping key and the aggregated columns are preserved as NaN in the output",

NewQuestion,MC,
QuestionText,"When you group by a list of keys, such as df.groupby(['key1', 'key2']), what does the result's index look like after aggregation?",
